concept id	name	element file id.obj
FMA3789	abdominal aorta	FJ1932.obj
FMA14756	left middle suprarenal artery	FJ3472.obj
FMA50737	celiac artery	FJ1846.obj
FMA50737	celiac artery	FJ2013.obj
FMA14771	common hepatic artery	FJ3078.obj
FMA14781	right gastro-epiploic artery	FJ3596.obj
FMA14782	anterior superior pancreaticoduodenal artery	FJ3409.obj
FMA14784	posterior superior pancreaticoduodenal artery	FJ3557.obj
FMA76574	trunk of gastroduodenal artery	FJ3432.obj
FMA14772	hepatic artery	FJ3081.obj
FMA70452	lateral superior segmental hepatic artery	FJ3091.obj
FMA70452	lateral superior segmental hepatic artery	FJ3093.obj
FMA70453	lateral inferior segmental hepatic artery	FJ3092.obj
FMA70457	trunk of left hepatic artery	FJ3095.obj
FMA70449	medial superior segmental hepatic artery	FJ3107.obj
FMA70450	medial inferior segmental hepatic artery	FJ3106.obj
FMA70455	caudate lobe branch of left hepatic artery	FJ3077.obj
FMA71710	left lobe branch of left hepatic artery	FJ1874.obj
FMA71708	right lobe branch of right hepatic artery	FJ1924.obj
FMA71708	right lobe branch of right hepatic artery	FJ2394.obj
FMA70456	trunk of right hepatic artery	FJ3117.obj
FMA70447	caudate lobe branch of right hepatic artery	FJ1916.obj
FMA70447	caudate lobe branch of right hepatic artery	FJ2386.obj
FMA70446	posterior inferior segmental hepatic artery	FJ3114.obj
FMA70445	posterior superior segmental hepatic artery	FJ3116.obj
FMA70445	posterior superior segmental hepatic artery	FJ3115.obj
FMA70443	anterior inferior segmental hepatic artery	FJ3075.obj
FMA70442	anterior superior segmental hepatic artery	FJ3076.obj
FMA14776	right gastric artery	FJ3594.obj
FMA14812	celiac trunk	FJ3421.obj
FMA14773	splenic artery	FJ3544.obj
FMA14773	splenic artery	FJ3640.obj
FMA14773	splenic artery	FJ2562.obj
FMA14773	splenic artery	FJ3420.obj
FMA14787	dorsal pancreatic artery	FJ3430.obj
FMA14792	great pancreatic artery	FJ3433.obj
FMA14793	caudal pancreatic artery	FJ3419.obj
FMA14790	inferior pancreatic artery	FJ3444.obj
FMA14796	left gastro-epiploic artery	FJ3501.obj
FMA14768	left gastric artery	FJ3499.obj
FMA14750	inferior mesenteric artery	FJ3442.obj
FMA14831	marginal artery of colon	FJ3534.obj
FMA14826	left colic artery	FJ3494.obj
FMA14829	descending branch of left colic artery	FJ3428.obj
FMA14828	ascending branch of left colic artery	FJ3399.obj
FMA14830	sigmoid artery	FJ3638.obj
FMA14832	superior rectal artery	FJ3656.obj
FMA14749	superior mesenteric artery	FJ1928.obj
FMA14749	superior mesenteric artery	FJ2011.obj
FMA14811	right colic artery	FJ3590.obj
FMA14810	middle colic artery	FJ3542.obj
FMA14809	ileal artery	FJ3437.obj
FMA66358	trunk of superior mesenteric artery	FJ3644.obj
FMA14815	ileocolic artery	FJ3439.obj
FMA14820	ascending branch of inferior branch of ileocolic artery	FJ3414.obj
FMA14817	posterior cecal artery	FJ3553.obj
FMA14818	appendicular artery	FJ3410.obj
FMA14816	anterior cecal artery	FJ3406.obj
FMA14824	marginal colic artery	FJ2025.obj
FMA14819	ileal branch of inferior branch of ileocolic artery	FJ2034.obj
FMA14805	inferior pancreaticoduodenal artery	FJ3446.obj
FMA70479	anterior inferior pancreaticoduodenal artery	FJ3401.obj
FMA70480	posterior inferior pancreaticoduodenal artery	FJ3546.obj
FMA14760	left testicular artery	FJ3532.obj
FMA14765	right common iliac artery	FJ3565.obj
FMA18806	right external iliac artery	FJ3567.obj
FMA20688	right inferior epigastric artery	FJ3604.obj
FMA70249	right femoral artery	FJ2143.obj
FMA77380	right popliteal artery	FJ2170.obj
FMA43898	right posterior tibial artery	FJ2172.obj
FMA43929	right medial plantar artery	FJ2164.obj
